iss,CodeEx,Entité,Tunnel,Axe,Sens,Pr,Description,Local,Tatouage
IS256,CAM/IS256,AGER_EST,NOGENT,A86EST,I,310650.0,Caméra Issue de secours n°256 - Tunnel de Nogent,L10.487K,E73.834X
IS257,CAM/IS257,AGER_EST,NOGENT,A86EST,I,310800.0,Caméra Issue de secours n°257 - Tunnel de Nogent,L10.488L,E73.835Y
IS258,CAM/IS258,AGER_EST,NOGENT,A86EST,I,320120.0,Caméra Issue de secours n°258 - Tunnel de Nogent,L10.489M,E73.836A
IS259,CAM/IS259,AGER_EST,NOGENT,A86EST,I,320269.0,Caméra Issue de secours n°259 - Tunnel de Nogent,L10.491P,E73.837C
IS260,CAM/IS260,AGER_EST,NOGENT,A86EST,I,320561.0,Caméra Issue de secours n°260 - Tunnel de Nogent,L10.492R,E73.838D
IS265,CAM/IS265,AGER_EST,NOGENT,A86EST,E,310820.0,Caméra Issue de secours n°265 - Tunnel de Nogent,L10.497W,E73.839E
IS268,CAM/IS268,AGER_EST,NOGENT,A86EST,E,310569.0,Caméra Issue de secours n°268 - Tunnel de Nogent,L10.501C,E73.841G
IS525,CAM/IS525,AGER_EST,BOISSY,N19,W,180027.0,Caméra Issue de secours n°525 - Tunnel de Boissy,L11.589V,E73.844K
IS526,CAM/IS526,AGER_EST,BOISSY,N19,W,170832.0,Caméra Issue de secours n°526 - Tunnel de Boissy,L11.591X,E73.845L
IS527,CAM/IS527,AGER_EST,BOISSY,N19,W,170637.0,Caméra Issue de secours n°527 - Tunnel de Boissy,L11.592Y,E73.846M
IS528,CAM/IS528,AGER_EST,BOISSY,N19,W,170487.0,Caméra Issue de secours n°528 - Tunnel de Boissy,L11.593A,E73.847N
IS521,CAM/IS521,AGER_EST,BOISSY,N19,Y,170444.0,Caméra Issue de secours n°521 - Tunnel de Boissy,L11.585R,E73.848P
IS522,CAM/IS522,AGER_EST,BOISSY,N19,Y,170637.0,Caméra Issue de secours n°522 - Tunnel de Boissy,L11.586S,E73.849R
