CodeEx,PC,Axe,Sens,triCode,Tunnel,NouvPR,Tatouage,GPS
IS527,PCE,N19,W,BOI,BOISSY,17+0637,L11.592Y,"48.750839,2.514631"
IS528,PCE,N19,W,BOI,BOISSY,17+0487,L11.593A,"48.752561,2.513278"
IS201,PCN,A86NORD,I,CRN,LA_COURNEUVE,15+0808,L10.445K,"48.923320,2.383564"
IS202,PCN,A86NORD,I,CRN,LA_COURNEUVE,16+0118,L10.446L,"48.923794,2.386386"
IS203,PCN,A86NORD,E,CRN,LA_COURNEUVE,15+0826,L10.447M,"48.923733,2.383758"
IS204,PCN,A86NORD,E,CRN,LA_COURNEUVE,15+0683,L10.448N,"48.923332,2.381847"
IS211,PCN,A86NORD,I,LNO,LUMEN_NORTON,18+0990,L10.449P,"48.925682,2.423361"
IS212,PCN,A86NORD,I,LNO,LUMEN_NORTON,19+0570,L10.451S,"48.921806,2.427239"
IS213,PCN,A86NORD,E,LNO,LUMEN_NORTON,19+0600,L10.452T,"48.921420,2.427844"
IS214,PCN,A86NORD,E,LNO,LUMEN_NORTON,19+0410,L10.453U,"48.922935,2.427508"
IS221,PCN,A86NORD,I,BDR,BOBIGNY,20+0130,L10.454V,"48.916718,2.429297"
IS222,PCN,A86NORD,I,BDR,BOBIGNY,20+0340,L10.455W,"48.915123,2.430447"
IS223,PCN,A86NORD,I,BDR,BOBIGNY,20+0505,L10.456X,"48.914078,2.432219"
IS224,PCN,A86NORD,I,BDR,BOBIGNY,20+0660,L10.457Y,"48.913345,2.434208"
IS225,PCN,A86NORD,I,BDR,BOBIGNY,20+0930,L10.458A,"48.912304,2.437314"
IS226,PCN,A86NORD,I,BDR,BOBIGNY,21+0020,L10.459C,"48.911890,2.438570"
IS227,PCN,A86NORD,I,BDR,BOBIGNY,21+0130,L10.461E,"48.911407,2.439883"
IS228,PCN,A86NORD,I,BDR,BOBIGNY,21+0300,L10.462F,"48.910714,2.441833"
IS229,PCN,A86NORD,I,BDR,BOBIGNY,21+0710,L10.463G,"48.909320,2.446803"
IS230,PCN,A86NORD,I,BDR,BOBIGNY,21+0930,L10.464H,"48.908560,2.449547"
IS228A,PCN,A86NORD,I,BDR,BOBIGNY,21+0560,L10.465J,"48.909781,2.445136"
IS232,PCN,A86NORD,I,BDR,BOBIGNY,22+0120,L10.466K,"48.907803,2.452211"
IS237A,PCN,A86NORD,E,BDR,BOBIGNY,21+0335,L10.467L,"48.910922,2.442581"
IS234,PCN,A86NORD,E,BDR,BOBIGNY,22+0230,L10.468M,"48.907780,2.453519"
IS235,PCN,A86NORD,E,BDR,BOBIGNY,21+0991,L10.469N,"48.908527,2.450744"
IS236,PCN,A86NORD,E,BDR,BOBIGNY,21+0770,L10.471R,"48.909330,2.447908"
IS237,PCN,A86NORD,E,BDR,BOBIGNY,21+0590,L10.472S,"48.909946,2.445647"
IS238,PCN,A86NORD,E,BDR,BOBIGNY,21+0220,L10.473T,"48.911380,2.440978"
IS239,PCN,A86NORD,E,BDR,BOBIGNY,20+0900,L10.474U,"48.912594,2.437408"
IS240,PCN,A86NORD,E,BDR,BOBIGNY,20+0772,L10.475V,"48.913178,2.435779"
IS241,PCN,A86NORD,E,BDR,BOBIGNY,20+0530,L10.476W,"48.914204,2.432786"
IS238A,PCN,A86NORD,E,BDR,BOBIGNY,21+0051,L10.477X,"48.912015,2.439142"
IS243,PCN,A86NORD,E,BDR,BOBIGNY,20+0360,L10.478Y,"48.915108,2.431036"
IS224A,PCN,A86NORD,I,BDR,BOBIGNY,20+0780,L10.479A,"48.912869,2.435603"
IS245,PCN,A86NORD,E,BDR,BOBIGNY,20+0050,L10.481D,"48.917522,2.429389"
IS351,PCN,A1,Y,LAN,LANDY,0+0615,L10.562Y,"48.907543,2.358567"
IS352,PCN,A1,Y,LAN,LANDY,0+0775,L10.563A,"48.909030,2.358469"
IS353,PCN,A1,Y,LAN,LANDY,0+0875,L10.564C,"48.909992,2.358392"
IS354,PCN,A1,Y,LAN,LANDY,1+0029,L10.565D,"48.910812,2.358311"
IS355,PCN,A1,Y,LAN,LANDY,1+0040,L10.566E,"48.911440,2.358286"
IS356,PCN,A1,Y,LAN,LANDY,1+0150,L10.567F,"48.912450,2.358183"
IS357,PCN,A1,Y,LAN,LANDY,1+0275,L10.568G,"48.913494,2.358122"
IS358,PCN,A1,Y,LAN,LANDY,1+0415,L10.569H,"48.914770,2.358008"
IS359,PCN,A1,Y,LAN,LANDY,1+0610,L10.571K,"48.916492,2.357872"
IS360,PCN,A1,Y,LAN,LANDY,1+0720,L10.572L,"48.916607,2.357364"
IS361,PCN,A1,W,LAN,LANDY,1+0720,L10.573M,"48.917390,2.357292"
IS362,PCN,A1,W,LAN,LANDY,1+0645,L10.574N,"48.916607,2.357364"
IS363,PCN,A1,W,LAN,LANDY,1+0430,L10.575P,"48.914825,2.357508"
IS364,PCN,A1,W,LAN,LANDY,1+0270,L10.576R,"48.913483,2.357611"
IS365,PCN,A1,W,LAN,LANDY,1+0170,L10.577S,"48.912437,2.357711"
IS366,PCN,A1,W,LAN,LANDY,1+0040,L10.578T,"48.911420,2.357786"
IS367,PCN,A1,W,LAN,LANDY,0+0980,L10.579U,"48.910797,2.357842"
IS368,PCN,A1,W,LAN,LANDY,0+0880,L10.581W,"48.909973,2.357894"
IS369,PCN,A1,W,LAN,LANDY,0+0770,L10.582X,"48.909016,2.357969"
IS370,PCN,A1,W,LAN,LANDY,0+0625,L10.583Y,"48.907475,2.358108"
IS471,PCN,A115,Y,TAV,TAVERNY,6+0830,L10.647A,"49.019783,2.212633"
IS472,PCN,A115,Y,TAV,TAVERNY,7+0048,L10.648C,"49.021520,2.211364"
IS473,PCN,A115,Y,TAV,TAVERNY,7+0241,L10.649D,"49.023090,2.210214"
IS474,PCN,A115,W,TAV,TAVERNY,7+0241,L10.651F,"49.022972,2.209883"
IS475,PCN,A115,W,TAV,TAVERNY,7+0048,L10.652G,"49.021435,2.211028"
IS476,PCN,A115,W,TAV,TAVERNY,6+0830,L10.653H,"49.019684,2.212303"
IS301,PCS,A86SUD,I,FRE,FRESNES,51+0112,L10.532N,"48.758190,2.326767"
IS302,PCS,A86SUD,E,FRE,FRESNES,51+0110,L10.533P,"48.758020,2.326639"
IS311,PCS,A86SUD,I,ANT,ANTONY,52+0270,L10.534R,"48.763184,2.311044"
IS312,PCS,A86SUD,I,ANT,ANTONY,52+0464,L10.535S,"48.763610,2.308514"
IS313,PCS,A86SUD,I,ANT,ANTONY,52+0673,L10.536T,"48.763363,2.305703"
IS314,PCS,A86SUD,I,ANT,ANTONY,52+0884,L10.537U,"48.762660,2.302975"
IS315,PCS,A86SUD,I,ANT,ANTONY,52+1115,L10.538V,"48.762030,2.299964"
IS316,PCS,A86SUD,E,ANT,ANTONY,52+1163,L10.539W,"48.761787,2.299422"
IS317,PCS,A86SUD,E,ANT,ANTONY,52+0885,L10.541Y,"48.762530,2.303050"
IS318,PCS,A86SUD,E,ANT,ANTONY,52+0669,L10.542A,"48.763230,2.305781"
IS319,PCS,A86SUD,E,ANT,ANTONY,52+0462,L10.543C,"48.763498,2.308545"
IS320,PCS,A86SUD,E,ANT,ANTONY,52+0276,L10.544D,"48.762905,2.310853"
IS401,PCS,A6B,Y,ITA,ITALIE,0+0150,L10.598S,"48.816440,2.359191"
IS402,PCS,A6B,Y,ITA,ITALIE,0+0237,L10.599T,"48.816505,2.357995"
IS403,PCS,A6B,Y,ITA,ITALIE,0+0332,L10.601V,"48.816260,2.356800"
IS404,PCS,A6B,Y,BIC,BICETRE,0+0920,L10.602W,"48.812060,2.351981"
IS405,PCS,A6B,Y,BIC,BICETRE,0+1225,L10.603X,"48.810028,2.349328"
IS406,PCS,A6B,Y,BIC,BICETRE,1+0054,L10.604Y,"48.807842,2.347144"
IS407,PCS,A6B,Y,BIC,BICETRE,1+0275,L10.605A,"48.806168,2.345556"
IS408,PCS,A6B,Y,BIC,BICETRE,1+0490,L10.606C,"48.804443,2.344164"
IS409,PCS,A6B,W,BIC,BICETRE,1+0490,L10.607D,"48.804400,2.344411"
IS410,PCS,A6B,W,BIC,BICETRE,1+0275,L10.608E,"48.806060,2.345814"
IS411,PCS,A6B,W,BIC,BICETRE,1+0054,L10.609F,"48.807747,2.347403"
IS412,PCS,A6B,W,BIC,BICETRE,0+1050,L10.611H,"48.809940,2.349575"
IS413,PCS,A6B,W,BIC,BICETRE,0+0750,L10.612J,"48.811930,2.352158"
IS481,PCS,N7,Y,ORL,ORLY,2+0720,L10.654J,"48.728261,2.368461"
IS482,PCS,N7,W,ORL,ORLY,2+0710,L10.655K,"48.728303,2.368744"
IS331,PCO,A86OUEST,I,RUE,BELLE-RIVE,75+0075,L10.545E,"48.876713,2.161953"
IS332,PCO,A86OUEST,I,RUE,BELLE-RIVE,76+0028,L10.546F,"48.878050,2.163383"
IS333,PCO,A86OUEST,I,RUE,BELLE-RIVE,76+0175,L10.547G,"48.879337,2.164258"
IS334,PCO,A86OUEST,I,RUE,BELLE-RIVE,76+0032,L10.548H,"48.880524,2.164975"
IS335,PCO,A86OUEST,I,RUE,BELLE-RIVE,76+0436,L10.549J,"48.881557,2.165594"
IS336,PCO,A86OUEST,I,RUE,BELLE-RIVE,76+0055,L10.551L,"48.882465,2.165953"
IS337,PCO,A86OUEST,I,RUE,BELLE-RIVE,76+0759,L10.552M,"48.884388,2.165819"
IS338,PCO,A86OUEST,E,RUE,BELLE-RIVE,76+0097,L10.553N,"48.886160,2.165153"
IS339,PCO,A86OUEST,E,RUE,BELLE-RIVE,76+0756,L10.554P,"48.884323,2.165406"
IS340,PCO,A86OUEST,E,RUE,BELLE-RIVE,76+0055,L10.555R,"48.882520,2.165561"
IS341,PCO,A86OUEST,E,RUE,BELLE-RIVE,76+0046,L10.556S,"48.881870,2.165231"
IS342,PCO,A86OUEST,E,RUE,BELLE-RIVE,76+0313,L10.557T,"48.880634,2.164536"
IS343,PCO,A86OUEST,E,RUE,BELLE-RIVE,76+0019,L10.558U,"48.879433,2.163881"
IS344,PCO,A86OUEST,E,RUE,BELLE-RIVE,76+0038,L10.559V,"48.878185,2.163033"
IS345,PCO,A86OUEST,E,RUE,BELLE-RIVE,75+0753,L10.561X,"48.876880,2.161639"
IS421,PCO,A12,Y,FLF,FONTENAY,5+0346,L10.613K,"48.806484,2.051453"
IS422,PCO,A12,Y,FLF,FONTENAY,5+0544,L10.614L,"48.805035,2.049925"
IS423,PCO,A12,W,FLF,FONTENAY,5+0555,L10.615M,"48.804800,2.050431"
IS424,PCO,A12,W,FLF,FONTENAY,5+0356,L10.616N,"48.806280,2.051903"
IS431,PCO,A13,Y,BAP,AMBROISE_PARE,1+0063,L10.617P,"48.848520,2.242444"
IS432,PCO,A13,Y,BAP,AMBROISE_PARE,1+0149,L10.618R,"48.848515,2.241225"
IS433,PCO,A13,Y,BAP,AMBROISE_PARE,1+0246,L10.619S,"48.848490,2.239906"
IS434,PCO,A13,Y,BAP,AMBROISE_PARE,1+0338,L10.621U,"48.848476,2.238669"
IS435,PCO,A13,Y,BAP,AMBROISE_PARE,1+0433,L10.622V,"48.848450,2.237383"
IS436,PCO,A13,Y,BAP,AMBROISE_PARE,1+0533,L10.623W,"48.848390,2.236014"
IS437,PCO,A13,Y,BAP,AMBROISE_PARE,1+0622,L10.624X,"48.848366,2.234839"
IS438,PCO,A13,W,BAP,AMBROISE_PARE,1+0622,L10.625Y,"48.848034,2.234797"
IS439,PCO,A13,W,BAP,AMBROISE_PARE,1+0531,L10.626A,"48.848038,2.236064"
IS440,PCO,A13,W,BAP,AMBROISE_PARE,1+0441,L10.627C,"48.848130,2.237267"
IS441,PCO,A13,W,BAP,AMBROISE_PARE,1+0382,L10.628D,"48.848125,2.238075"
IS442,PCO,A13,W,BAP,AMBROISE_PARE,1+0305,L10.629E,"48.848156,2.239108"
IS443,PCO,A13,W,BAP,AMBROISE_PARE,1+0227,L10.631G,"48.848140,2.240150"
IS444,PCO,A13,W,BAP,AMBROISE_PARE,1+0124,L10.632H,"48.848160,2.241594"
IS445,PCO,A13,W,BAP,AMBROISE_PARE,1+0005,L10.633J,"48.848183,2.242586"
IS451,PCO,A13,Y,SCL,SAINT-CLOUD,3+0671,L10.634K,"48.839493,2.215619"
IS452,PCO,A13,Y,SCL,SAINT-CLOUD,3+0803,L10.635L,"48.839626,2.213808"
IS453,PCO,A13,Y,SCL,SAINT-CLOUD,3+0097,L10.636M,"48.839703,2.211558"
