CodeEx,PC,Tatouage,triCode,Fermeture
IS409,PCS,L10.607D,BIC,BIC&ITA-W
IS410,PCS,L10.608E,BIC,BIC&ITA-W
IS411,PCS,L10.609F,BIC,BIC&ITA-W
IS412,PCS,L10.611H,BIC,BIC&ITA-W
IS413,PCS,L10.612J,BIC,BIC&ITA-W
IS421,PCO,L10.613K,FLF,FLF-Y
IS422,PCO,L10.614L,FLF,FLF-Y
IS423,PCO,L10.615M,FLF,FLF-W
IS424,PCO,L10.616N,FLF,FLF-W
IS431,PCO,L10.617P,BAP,BAP&SCL-Y
IS432,PCO,L10.618R,BAP,BAP&SCL-Y
IS433,PCO,L10.619S,BAP,BAP&SCL-Y
IS434,PCO,L10.621U,BAP,BAP&SCL-Y
IS435,PCO,L10.622V,BAP,BAP&SCL-Y
IS436,PCO,L10.623W,BAP,BAP&SCL-Y
IS437,PCO,L10.624X,BAP,BAP&SCL-Y
IS438,PCO,L10.625Y,BAP,BAP&SCL-W
IS439,PCO,L10.626A,BAP,BAP&SCL-W
IS440,PCO,L10.627C,BAP,BAP&SCL-W
IS441,PCO,L10.628D,BAP,BAP&SCL-W
IS442,PCO,L10.629E,BAP,BAP&SCL-W
IS443,PCO,L10.631G,BAP,BAP&SCL-W
IS444,PCO,L10.632H,BAP,BAP&SCL-W
IS445,PCO,L10.633J,BAP,BAP&SCL-W
IS451,PCO,L10.634K,SCL,BAP&SCL-Y
IS452,PCO,L10.635L,SCL,BAP&SCL-Y
IS453,PCO,L10.636M,SCL,BAP&SCL-Y
IS454,PCO,L10.637N,SCL,BAP&SCL-Y
IS455,PCO,L10.638P,SCL,BAP&SCL-Y
IS456,PCO,L10.639R,SCL,BAP&SCL-Y
IS457,PCO,L10.641T,SCL,BAP&SCL-W
IS458,PCO,L10.642U,SCL,BAP&SCL-W
IS459,PCO,L10.643V,SCL,BAP&SCL-W
IS460,PCO,L10.644W,SCL,BAP&SCL-W
IS461,PCO,L10.645X,SCL,BAP&SCL-W
IS462,PCO,L10.646Y,SCL,BAP&SCL-W
IS471,PCN,L10.647A,TAV,TAV
IS472,PCN,L10.648C,TAV,TAV
